10 19   10
35 67   43
76 144   73
131 260   125
204 413   175
282 597   243
385 824   313
516 1096   405
661 1413   495
821 1769   604
999 2164   714
1207 2592   844
1435 3055   974
1677 3579   1127
1934 4158   1277
2208 4782   1452
2502 5461   1622
2832 6185   1816
3178 6948   2006
3548 7760   2216
3937 8619   2426
4340 9519   2663
4778 10460   2893
5235 11436   3144
5715 12447   3394
6205 13503   3664
6751 14628   3934
7287 15816   4226
7862 17063   4516
8444 18371   4835
9069 19734   5145
9713 21142   5477
10387 22615   5807
11080 24143   6161
11800 25720   6511
12519 27348   6892
13275 29023   7262
14052 30739   7655
14880 32508   8045
15742 34332   8454
16601 36211   8864
17464 38139   9294
18386 40116   9724
19336 42136   10167
20278 44197   10617
21269 46309   11094
22290 48466   11564
23333 50658   12063
24352 52895   12553
25449 55167   13065
26547 57468   13575
27657 59840   14105
28816 62289   14635
29969 64809   15186
31189 67400   15736
32447 70056   16302
33700 72777   16872
35005 75561   17466
36299 78414   18056
37633 81330   18665
39005 84305   19275
40362 87341   19914
41733 90432   20544
43177 93568   21193
44701 96779   21843
46194 100055   22521
47684 103390   23191
49232 106786   23881
50794 110239   24571
52355 113743   25280
53900 117304   25990
55522 120920   26719
57190 124591   27449
58880 128311   28199
60567 132080   28949
62330 135892   29718
64144 139749   30488
65959 143677   31293
67807 147670   32083
69672 151718   32893
71540 155831   33703
73529 159999   34537
75459 164216   35367
77423 168492   36217
79466 172825   37067
81447 177209   37933
83501 181644   38803
85547 186124   39697
87622 190649   40587
89748 195221   41500
91854 199852   42410
93958 204536   43341
96132 209269   44271
98399 214053   45232
100598 218882   46182
102864 223746   47155
105141 228665   48125
107416 233629   49113
109771 238632   50103
112160 243676   51111
